Date,Open,High,Low,Close
05/25/2022,"1.0737","1.0743","1.0643","1.0681"
05/24/2022,"1.0691","1.0750","1.0547","1.0736"
05/23/2022,"1.0563","1.0699","1.0558","1.0692"
05/20/2022,"1.0587","1.0600","1.0533","1.0565"
05/19/2022,"1.0471","1.0609","1.0460","1.0586"
05/18/2022,"1.0550","1.0565","1.0461","1.0465"
05/17/2022,"1.0434","1.0556","1.0429","1.0553"
05/16/2022,"1.0413","1.0445","1.0390","1.0433"
05/13/2022,"1.0382","1.0421","1.0351","1.0413"
05/12/2022,"1.0513","1.0531","1.0358","1.0383"
05/11/2022,"1.0529","1.0578","1.0506","1.0515"
05/10/2022,"1.0560","1.0587","1.0527","1.0532"
05/09/2022,"1.0557","1.0594","1.0496","1.0562"
05/06/2022,"1.0541","1.0600","1.0484","1.0548"
05/05/2022,"1.0622","1.0643","1.0494","1.0542"
05/04/2022,"1.0522","1.0633","1.0507","1.0623"
05/03/2022,"1.0507","1.0579","1.0493","1.0520"
05/02/2022,"1.0559","1.0566","1.0491","1.0509"
04/29/2022,"1.0497","1.0593","1.0492","1.0550"
04/28/2022,"1.0559","1.0566","1.0473","1.0500"
04/27/2022,"1.0639","1.0657","1.0516","1.0560"
04/26/2022,"1.0712","1.0740","1.0636","1.0638"
04/25/2022,"1.0835","1.0835","1.0698","1.0714"
04/22/2022,"1.0836","1.0853","1.0771","1.0801"
04/21/2022,"1.0855","1.0937","1.0825","1.0835"
04/20/2022,"1.0789","1.0868","1.0784","1.0857"
04/19/2022,"1.0783","1.0816","1.0762","1.0788"
04/18/2022,"1.0802","1.0823","1.0770","1.0782"
04/15/2022,"1.0830","1.0834","1.0796","1.0814"
04/14/2022,"1.0890","1.0925","1.0760","1.0831"
04/13/2022,"1.0828","1.0896","1.0810","1.0892"
04/12/2022,"1.0885","1.0905","1.0822","1.0829"
04/11/2022,"1.0918","1.0935","1.0873","1.0886"
04/08/2022,"1.0881","1.0893","1.0837","1.0876"
04/07/2022,"1.0895","1.0938","1.0866","1.0880"
04/06/2022,"1.0907","1.0939","1.0875","1.0897"
04/05/2022,"1.0976","1.0990","1.0900","1.0905"
04/04/2022,"1.1040","1.1056","1.0961","1.0974"
04/01/2022,"1.1068","1.1078","1.1028","1.1046"
03/31/2022,"1.1160","1.1186","1.1061","1.1067"
03/30/2022,"1.1087","1.1172","1.1083","1.1161"
03/29/2022,"1.0984","1.1139","1.0971","1.1088"
03/28/2022,"1.0985","1.1001","1.0945","1.0988"
03/25/2022,"1.0998","1.1040","1.0981","1.0982"
03/24/2022,"1.1005","1.1015","1.0970","1.0997"
03/23/2022,"1.1029","1.1045","1.0965","1.1006"
03/22/2022,"1.1018","1.1047","1.0961","1.1030"
03/21/2022,"1.1072","1.1072","1.1010","1.1017"
03/18/2022,"1.1092","1.1119","1.1005","1.1051"
03/17/2022,"1.1036","1.1139","1.1009","1.1094"
03/16/2022,"1.0956","1.1048","1.0949","1.1035"
03/15/2022,"1.0941","1.1021","1.0927","1.0957"
03/14/2022,"1.0921","1.0995","1.0902","1.0942"
03/11/2022,"1.0987","1.1044","1.0904","1.0915"
03/10/2022,"1.1077","1.1121","1.0977","1.0990"
03/09/2022,"1.0900","1.1096","1.0891","1.1076"
03/08/2022,"1.0855","1.0960","1.0850","1.0899"
03/07/2022,"1.0928","1.0932","1.0808","1.0856"
03/04/2022,"1.1067","1.1073","1.0891","1.0935"
03/03/2022,"1.1120","1.1124","1.1035","1.1066"
03/02/2022,"1.1129","1.1143","1.1060","1.1121"
03/01/2022,"1.1219","1.1234","1.1091","1.1125"
02/28/2022,"1.1139","1.1246","1.1123","1.1220"
02/25/2022,"1.1194","1.1276","1.1167","1.1273"
02/24/2022,"1.1308","1.1313","1.1109","1.1195"
02/23/2022,"1.1327","1.1361","1.1301","1.1306"
02/22/2022,"1.1316","1.1367","1.1289","1.1325"
02/21/2022,"1.1317","1.1387","1.1307","1.1312"
02/18/2022,"1.1363","1.1378","1.1315","1.1322"
02/17/2022,"1.1374","1.1388","1.1324","1.1362"
02/16/2022,"1.1362","1.1397","1.1345","1.1375"
02/15/2022,"1.1308","1.1370","1.1303","1.1360"
02/14/2022,"1.1352","1.1370","1.1282","1.1307"
02/11/2022,"1.1429","1.1433","1.1330","1.1350"
02/10/2022,"1.1427","1.1496","1.1378","1.1428"
02/09/2022,"1.1419","1.1448","1.1403","1.1426"
02/08/2022,"1.1444","1.1451","1.1397","1.1418"
02/07/2022,"1.1469","1.1469","1.1416","1.1443"
02/04/2022,"1.1440","1.1485","1.1413","1.1449"
02/03/2022,"1.1304","1.1452","1.1270","1.1438"
02/02/2022,"1.1274","1.1330","1.1267","1.1306"
02/01/2022,"1.1234","1.1281","1.1222","1.1273"
01/31/2022,"1.1142","1.1249","1.1139","1.1235"
01/28/2022,"1.1147","1.1175","1.1122","1.1149"
01/27/2022,"1.1242","1.1245","1.1133","1.1146"
01/26/2022,"1.1303","1.1313","1.1236","1.1241"
01/25/2022,"1.1328","1.1332","1.1266","1.1302"
01/24/2022,"1.1344","1.1347","1.1292","1.1326"
01/21/2022,"1.1312","1.1361","1.1302","1.1346"
01/20/2022,"1.1343","1.1370","1.1303","1.1311"
01/19/2022,"1.1327","1.1358","1.1319","1.1344"
01/18/2022,"1.1409","1.1424","1.1316","1.1328"
01/17/2022,"1.1416","1.1436","1.1393","1.1408"
01/14/2022,"1.1456","1.1484","1.1399","1.1416"
01/13/2022,"1.1441","1.1482","1.1436","1.1455"
01/12/2022,"1.1368","1.1455","1.1356","1.1443"
01/11/2022,"1.1326","1.1377","1.1314","1.1371"
01/10/2022,"1.1363","1.1363","1.1287","1.1328"
01/07/2022,"1.1297","1.1367","1.1291","1.1364"
01/06/2022,"1.1313","1.1333","1.1285","1.1300"
01/05/2022,"1.1288","1.1348","1.1277","1.1314"
01/04/2022,"1.1298","1.1323","1.1273","1.1289"
01/03/2022,"1.1368","1.1380","1.1280","1.1299"
